Device ID,Device Name,Last Firmware Update,Operating Time (hrs),Connection Quality,Device Temperature (°C),Device Usage Frequency,Connectivity Type,Event Logs,Device Priority,Protocol,Label,Attack Type
ID5615,Smart Thermostat,2016-10-09,170,Poor,18.4,Occasionally,Zigbee,36,High,CoAP,compromised,MITM
ID5757,Smart Light,2011-04-01,59,Good,5.5,Daily,Zigbee,26,Low,Zigbee,normal,
ID7571,Smart Lock,2024-07-09,54,Poor,35.0,Weekly,Zigbee,95,Low,CoAP,compromised,Jamming
ID7788,Smart Thermostat,2023-06-18,198,Poor,11.3,Weekly,Bluetooth,9,High,MQTT,compromised,Jamming
ID9631,Smart Lock,2019-07-12,51,Poor,38.4,Daily,Zigbee,48,Low,Zigbee,compromised,MITM
ID4169,Smart Light,2015-06-14,13,Poor,27.5,Occasionally,Bluetooth,85,Low,HTTP,compromised,MITM
ID6107,Smart Camera,2020-08-20,67,Poor,31.8,Occasionally,WiFi,42,High,Zigbee,compromised,MITM
ID1987,Smart Lock,2010-07-23,44,Poor,39.9,Daily,Zigbee,17,Low,Zigbee,compromised,Replay
ID7910,Smart Light,2022-05-26,86,Poor,17.6,Daily,Bluetooth,46,Low,MQTT,normal,
ID6727,Smart Lock,2020-01-14,21,Poor,33.3,Weekly,Zigbee,49,Low,Zigbee,compromised,Jamming
ID3318,Smart Camera,2015-06-17,90,Poor,25.0,Weekly,Bluetooth,86,High,HTTP,compromised,Jamming
ID1595,Smart Plug,2010-03-08,71,Poor,21.7,Daily,Bluetooth,98,Low,MQTT,compromised,Replay
ID7853,Smart Lock,2014-02-26,59,Poor,31.4,Daily,Zigbee,49,Low,Zigbee,compromised,MITM
ID9116,Smart Plug,2015-08-30,43,Poor,15.7,Daily,WiFi,53,Low,HTTP,compromised,Replay
ID3636,Smart Thermostat,2024-07-01,181,Excellent,12.8,Weekly,Zigbee,73,High,HTTP,normal,
ID1027,Smart Plug,2012-08-12,93,Good,29.0,Weekly,WiFi,95,Low,CoAP,normal,
ID7612,Smart Thermostat,2019-08-30,194,Excellent,37.4,Daily,Bluetooth,96,High,MQTT,normal,
ID7485,Smart Plug,2023-11-23,26,Poor,25.2,Occasionally,Bluetooth,35,Low,Zigbee,compromised,Replay
ID3471,Smart Thermostat,2014-01-20,129,Excellent,16.1,Daily,WiFi,20,High,CoAP,normal,
ID3632,Smart Camera,2023-09-04,64,Good,31.6,Weekly,Zigbee,89,High,HTTP,normal,
ID8849,Smart Camera,2019-04-12,69,Poor,26.4,Daily,Bluetooth,13,High,MQTT,compromised,DDoS
ID5183,Smart Lock,2019-12-18,59,Excellent,12.3,Occasionally,Zigbee,10,Low,HTTP,normal,
ID7081,Smart Lock,2017-04-15,28,Good,11.9,Weekly,Zigbee,26,Low,HTTP,normal,
ID6771,Smart Camera,2011-08-29,92,Good,26.5,Weekly,WiFi,35,High,MQTT,normal,
ID4926,Smart Plug,2012-08-25,96,Excellent,24.8,Daily,WiFi,76,Low,Zigbee,normal,
ID5683,Smart Camera,2019-11-09,71,Poor,26.8,Weekly,Bluetooth,56,High,HTTP,compromised,MITM
ID6377,Smart Lock,2012-05-04,38,Poor,17.5,Occasionally,Zigbee,50,Low,HTTP,compromised,Jamming
ID1887,Smart Thermostat,2023-04-30,88,Poor,7.7,Weekly,Zigbee,9,High,MQTT,compromised,MITM
ID5098,Smart Thermostat,2023-12-17,105,Poor,29.3,Weekly,Zigbee,2,High,CoAP,compromised,Replay
ID7156,Smart Camera,2017-10-14,75,Poor,11.2,Daily,WiFi,16,High,MQTT,compromised,DDoS
ID9176,Smart Camera,2019-03-13,18,Poor,15.9,Weekly,Bluetooth,6,High,MQTT,normal,
ID5266,Smart Plug,2020-06-03,36,Excellent,17.8,Occasionally,Bluetooth,47,Low,Zigbee,normal,
ID8906,Smart Light,2017-05-06,11,Poor,14.5,Daily,Bluetooth,79,Low,MQTT,compromised,MITM
ID8554,Smart Light,2018-10-01,81,Poor,5.0,Weekly,WiFi,87,Low,MQTT,compromised,Jamming
ID5999,Smart Plug,2016-06-23,58,Poor,20.8,Weekly,WiFi,28,Low,MQTT,compromised,DDoS
ID9781,Smart Plug,2010-08-14,84,Excellent,15.9,Daily,Bluetooth,46,Low,HTTP,normal,
ID3914,Smart Light,2010-12-12,91,Poor,20.6,Daily,Bluetooth,38,Low,CoAP,normal,
ID4297,Smart Lock,2012-05-23,65,Poor,28.2,Occasionally,Zigbee,46,Low,CoAP,compromised,MITM
ID5374,Smart Lock,2022-02-02,54,Excellent,24.8,Weekly,Zigbee,68,Low,HTTP,normal,
ID3357,Smart Light,2019-05-13,68,Good,8.9,Occasionally,WiFi,37,Low,CoAP,normal,
ID4172,Smart Camera,2020-03-17,27,Poor,12.4,Occasionally,WiFi,46,High,CoAP,compromised,Jamming
ID6165,Smart Thermostat,2024-10-21,191,Poor,19.8,Daily,Zigbee,96,High,MQTT,compromised,Jamming
ID5502,Smart Thermostat,2015-12-16,195,Excellent,15.8,Daily,Bluetooth,21,High,Zigbee,normal,
ID6724,Smart Light,2024-04-26,11,Excellent,21.5,Weekly,WiFi,19,Low,CoAP,normal,
ID4088,Smart Light,2018-08-12,81,Excellent,23.7,Daily,Zigbee,4,Low,MQTT,normal,
ID3589,Smart Thermostat,2014-12-03,162,Good,37.8,Daily,Zigbee,40,High,MQTT,normal,
ID1643,Smart Lock,2020-06-03,82,Poor,20.0,Daily,Zigbee,57,Low,MQTT,compromised,Jamming
ID5970,Smart Lock,2024-03-29,62,Poor,11.0,Weekly,Zigbee,69,Low,HTTP,compromised,DDoS
ID3404,Smart Lock,2019-03-01,70,Poor,17.8,Weekly,Zigbee,20,Low,CoAP,compromised,Jamming
ID8801,Smart Plug,2017-10-24,43,Poor,14.7,Daily,Bluetooth,50,Low,MQTT,compromised,MITM
ID8991,Smart Plug,2010-01-30,46,Excellent,17.4,Daily,WiFi,4,Low,CoAP,normal,
ID3984,Smart Lock,2014-05-24,65,Good,13.2,Weekly,Zigbee,33,Low,Zigbee,normal,
ID1500,Smart Lock,2024-12-30,16,Good,11.1,Occasionally,Zigbee,91,Low,CoAP,normal,
ID1358,Smart Thermostat,2018-11-08,125,Poor,26.4,Weekly,Bluetooth,42,High,MQTT,compromised,Jamming
ID4436,Smart Light,2015-01-02,60,Poor,18.6,Weekly,Bluetooth,74,Low,MQTT,compromised,Jamming
ID3653,Smart Lock,2020-11-01,89,Poor,29.5,Weekly,Zigbee,31,Low,MQTT,compromised,Replay
ID2846,Smart Lock,2020-08-11,48,Good,20.2,Occasionally,Zigbee,99,Low,MQTT,normal,
ID4862,Smart Thermostat,2019-05-28,123,Poor,21.8,Weekly,Bluetooth,15,High,CoAP,compromised,MITM
ID2025,Smart Camera,2019-09-13,58,Poor,22.6,Daily,Zigbee,91,High,HTTP,compromised,DDoS
ID2338,Smart Light,2024-04-17,100,Excellent,6.6,Daily,WiFi,3,Low,MQTT,normal,
ID6564,Smart Light,2017-05-16,93,Poor,18.6,Daily,Bluetooth,63,Low,Zigbee,compromised,DDoS
ID1606,Smart Plug,2023-09-01,81,Poor,10.7,Daily,Bluetooth,66,Low,CoAP,compromised,Replay
ID1265,Smart Thermostat,2022-01-04,131,Poor,7.6,Daily,WiFi,70,High,HTTP,compromised,Jamming
ID4157,Smart Plug,2016-02-28,29,Poor,10.1,Daily,WiFi,86,Low,HTTP,compromised,MITM
ID4622,Smart Light,2013-10-24,51,Excellent,12.3,Weekly,Bluetooth,62,Low,MQTT,normal,
ID9501,Smart Plug,2021-09-21,100,Poor,10.9,Weekly,Bluetooth,49,Low,MQTT,compromised,MITM
ID4318,Smart Thermostat,2015-05-28,125,Good,32.3,Daily,Bluetooth,41,High,CoAP,normal,
ID6168,Smart Light,2023-06-06,79,Good,19.6,Daily,Bluetooth,13,Low,HTTP,normal,
ID4598,Smart Lock,2017-07-18,46,Good,23.8,Daily,Zigbee,6,Low,HTTP,normal,
ID1552,Smart Camera,2011-10-25,48,Poor,10.4,Occasionally,WiFi,58,High,CoAP,compromised,Jamming
ID6716,Smart Thermostat,2010-08-18,86,Good,33.0,Occasionally,WiFi,5,High,MQTT,normal,
ID1090,Smart Thermostat,2012-06-14,189,Poor,26.1,Weekly,Zigbee,1,High,MQTT,compromised,DDoS
ID8562,Smart Light,2019-10-27,14,Poor,27.3,Occasionally,WiFi,60,Low,Zigbee,compromised,Replay
ID4659,Smart Thermostat,2014-10-08,188,Good,15.3,Weekly,WiFi,40,High,Zigbee,normal,
ID5778,Smart Camera,2014-08-15,22,Excellent,16.7,Occasionally,WiFi,84,High,CoAP,normal,
ID2943,Smart Lock,2012-01-28,10,Good,23.7,Occasionally,Zigbee,85,Low,MQTT,normal,
ID6352,Smart Thermostat,2024-11-14,58,Excellent,14.9,Daily,Bluetooth,93,High,HTTP,normal,
ID6767,Smart Light,2020-06-22,68,Poor,10.7,Weekly,Zigbee,19,Low,Zigbee,normal,
ID8195,Smart Plug,2022-06-24,39,Excellent,15.7,Daily,WiFi,41,Low,MQTT,normal,
ID4883,Smart Thermostat,2015-08-08,143,Good,27.4,Occasionally,Bluetooth,34,High,CoAP,normal,
ID8576,Smart Lock,2017-04-16,37,Good,36.5,Weekly,Zigbee,77,Low,CoAP,normal,
ID6000,Smart Light,2023-12-24,36,Good,13.5,Daily,WiFi,60,Low,CoAP,normal,
ID6083,Smart Camera,2019-08-12,24,Good,13.1,Occasionally,Zigbee,10,High,HTTP,normal,
ID2760,Smart Thermostat,2022-07-22,101,Good,35.2,Daily,Bluetooth,58,High,MQTT,normal,
ID5733,Smart Lock,2010-05-12,61,Good,26.5,Occasionally,Zigbee,69,Low,Zigbee,normal,
ID1093,Smart Thermostat,2013-05-21,149,Poor,33.3,Occasionally,WiFi,41,High,Zigbee,compromised,Replay
ID5999,Smart Light,2016-05-10,34,Excellent,29.7,Weekly,WiFi,52,Low,HTTP,normal,
ID5440,Smart Light,2021-07-28,32,Poor,10.3,Occasionally,Bluetooth,46,Low,Zigbee,normal,
ID2507,Smart Camera,2016-02-26,53,Poor,15.9,Weekly,Zigbee,89,High,CoAP,compromised,DDoS
ID1693,Smart Lock,2014-02-19,63,Poor,34.0,Weekly,Zigbee,63,Low,MQTT,compromised,DDoS
ID6189,Smart Plug,2012-09-18,45,Excellent,13.9,Daily,Zigbee,17,Low,Zigbee,normal,
ID8520,Smart Thermostat,2022-01-03,156,Poor,8.2,Occasionally,Zigbee,33,High,Zigbee,compromised,Jamming
ID3540,Smart Plug,2010-07-08,56,Poor,23.2,Weekly,WiFi,58,Low,HTTP,compromised,Replay
ID6653,Smart Camera,2010-06-18,41,Good,31.7,Occasionally,Bluetooth,9,High,Zigbee,normal,
ID5566,Smart Camera,2013-09-16,75,Poor,34.7,Weekly,Bluetooth,27,High,HTTP,compromised,Jamming
ID4070,Smart Lock,2021-06-22,75,Excellent,28.4,Occasionally,Zigbee,8,Low,HTTP,normal,
ID6201,Smart Light,2012-12-01,57,Excellent,9.8,Occasionally,WiFi,20,Low,CoAP,normal,
ID1178,Smart Plug,2013-04-14,68,Excellent,24.8,Occasionally,Zigbee,68,Low,Zigbee,normal,
ID2035,Smart Light,2011-09-07,28,Poor,25.7,Weekly,Zigbee,56,Low,Zigbee,compromised,Replay
ID7303,Smart Camera,2014-10-05,100,Good,16.7,Weekly,WiFi,88,High,MQTT,normal,
ID7830,Smart Lock,2010-11-13,40,Excellent,13.3,Occasionally,Zigbee,32,Low,CoAP,normal,
ID2228,Smart Light,2010-06-05,47,Poor,14.1,Weekly,Bluetooth,10,Low,HTTP,normal,
ID4847,Smart Lock,2011-01-27,67,Poor,36.4,Daily,Zigbee,84,Low,MQTT,compromised,MITM
ID1657,Smart Light,2013-04-13,33,Good,9.7,Daily,Bluetooth,42,Low,CoAP,normal,
ID6694,Smart Lock,2016-11-22,67,Good,14.1,Weekly,Zigbee,65,Low,HTTP,normal,
ID6798,Smart Light,2010-03-21,79,Excellent,26.6,Weekly,Zigbee,48,Low,MQTT,normal,
ID1533,Smart Lock,2018-05-27,36,Good,38.7,Weekly,Zigbee,36,Low,CoAP,normal,
ID5482,Smart Plug,2011-09-16,98,Excellent,11.0,Occasionally,Bluetooth,23,Low,CoAP,normal,
ID8882,Smart Plug,2014-10-01,48,Excellent,20.5,Occasionally,WiFi,40,Low,MQTT,normal,
ID3316,Smart Light,2019-09-02,92,Poor,19.4,Occasionally,Zigbee,3,Low,MQTT,normal,
ID5715,Smart Camera,2018-02-04,58,Poor,20.0,Occasionally,WiFi,71,High,Zigbee,compromised,DDoS
ID2913,Smart Plug,2020-11-30,59,Poor,28.6,Weekly,WiFi,46,Low,MQTT,compromised,MITM
ID8399,Smart Thermostat,2021-06-28,123,Excellent,35.2,Daily,Bluetooth,5,High,Zigbee,normal,
ID1581,Smart Lock,2021-03-26,12,Excellent,11.0,Weekly,Zigbee,85,Low,CoAP,normal,
ID5409,Smart Camera,2019-02-23,85,Poor,10.8,Weekly,Bluetooth,80,High,Zigbee,compromised,Replay
ID1321,Smart Thermostat,2012-07-26,104,Good,21.4,Daily,Zigbee,99,High,MQTT,normal,
ID7206,Smart Plug,2019-11-06,34,Poor,25.6,Weekly,Zigbee,39,Low,MQTT,compromised,DDoS
ID3658,Smart Plug,2015-08-14,43,Poor,16.3,Daily,Zigbee,53,Low,Zigbee,compromised,Jamming
ID4141,Smart Light,2015-10-08,18,Poor,16.7,Occasionally,WiFi,85,Low,Zigbee,compromised,MITM
ID3385,Smart Lock,2020-09-06,72,Poor,17.4,Daily,Zigbee,19,Low,MQTT,compromised,Replay
ID6366,Smart Light,2014-04-29,80,Excellent,30.0,Weekly,Bluetooth,8,Low,CoAP,normal,
ID1625,Smart Camera,2024-09-24,47,Poor,18.3,Daily,Bluetooth,65,High,HTTP,compromised,Jamming
ID9676,Smart Thermostat,2019-02-13,147,Poor,24.9,Occasionally,Zigbee,22,High,HTTP,compromised,MITM
ID4642,Smart Plug,2023-09-05,16,Poor,10.9,Occasionally,WiFi,46,Low,MQTT,compromised,DDoS
ID2530,Smart Camera,2024-07-11,66,Poor,33.1,Occasionally,WiFi,29,High,MQTT,compromised,Jamming
ID7279,Smart Plug,2022-07-18,52,Excellent,21.2,Daily,WiFi,33,Low,MQTT,normal,
ID9626,Smart Lock,2018-05-09,33,Excellent,16.5,Occasionally,Zigbee,61,Low,CoAP,normal,
ID7739,Smart Thermostat,2018-01-02,62,Excellent,12.0,Occasionally,Bluetooth,98,High,MQTT,normal,
ID5823,Smart Lock,2013-01-16,78,Poor,17.4,Daily,Zigbee,71,Low,CoAP,compromised,MITM
ID8185,Smart Camera,2021-12-15,70,Poor,13.9,Weekly,Bluetooth,11,High,Zigbee,compromised,DDoS
ID7536,Smart Lock,2021-04-11,60,Good,12.6,Daily,Zigbee,22,Low,MQTT,normal,
ID7496,Smart Light,2013-10-30,52,Poor,8.8,Occasionally,Bluetooth,71,Low,Zigbee,compromised,DDoS
ID1393,Smart Light,2022-02-16,74,Poor,19.3,Weekly,Bluetooth,64,Low,MQTT,compromised,Jamming
ID1920,Smart Light,2013-11-08,95,Poor,15.2,Occasionally,Bluetooth,62,Low,MQTT,compromised,Jamming
ID8226,Smart Lock,2023-11-02,28,Good,14.2,Occasionally,Zigbee,65,Low,CoAP,normal,
ID1595,Smart Thermostat,2013-03-26,53,Poor,33.3,Weekly,Bluetooth,60,High,CoAP,compromised,Replay
ID3682,Smart Light,2021-01-04,65,Poor,12.4,Daily,Bluetooth,94,Low,MQTT,compromised,DDoS
ID7362,Smart Thermostat,2019-01-19,136,Good,18.5,Weekly,Zigbee,94,High,CoAP,normal,
ID2638,Smart Lock,2012-12-25,51,Poor,27.8,Daily,Zigbee,9,Low,MQTT,compromised,DDoS
ID7996,Smart Lock,2022-10-29,46,Poor,30.7,Daily,Zigbee,88,Low,Zigbee,compromised,Replay
ID6823,Smart Light,2017-08-25,22,Excellent,17.9,Occasionally,Bluetooth,62,Low,MQTT,normal,
ID4725,Smart Lock,2023-02-27,84,Poor,38.8,Daily,Zigbee,52,Low,CoAP,compromised,Jamming
ID9148,Smart Light,2016-04-13,70,Excellent,17.8,Daily,Bluetooth,71,Low,MQTT,normal,
ID8781,Smart Plug,2012-05-09,42,Good,18.4,Weekly,Bluetooth,90,Low,CoAP,normal,
ID8604,Smart Plug,2012-05-24,57,Excellent,21.9,Daily,WiFi,10,Low,MQTT,normal,
ID8105,Smart Light,2020-02-23,54,Good,6.5,Weekly,Bluetooth,82,Low,MQTT,normal,
ID9156,Smart Plug,2010-04-12,82,Excellent,13.8,Weekly,Bluetooth,45,Low,Zigbee,normal,
ID6306,Smart Camera,2022-09-20,22,Excellent,28.5,Daily,Zigbee,8,High,MQTT,normal,
ID8391,Smart Plug,2014-10-11,17,Poor,21.8,Weekly,Bluetooth,36,Low,Zigbee,compromised,Jamming
ID3251,Smart Camera,2016-03-04,73,Good,15.6,Daily,WiFi,90,High,MQTT,normal,
ID4213,Smart Plug,2012-05-26,17,Excellent,16.5,Weekly,WiFi,52,Low,MQTT,normal,
ID3004,Smart Lock,2016-07-14,14,Good,29.3,Daily,Zigbee,80,Low,MQTT,normal,
ID2863,Smart Thermostat,2018-06-02,193,Poor,31.7,Occasionally,WiFi,60,High,HTTP,compromised,DDoS
ID6626,Smart Lock,2017-01-21,73,Excellent,32.7,Daily,Zigbee,15,Low,MQTT,normal,
ID6142,Smart Lock,2021-09-24,48,Poor,13.9,Weekly,Zigbee,46,Low,HTTP,compromised,MITM
ID6380,Smart Plug,2021-11-19,53,Poor,11.8,Daily,Zigbee,79,Low,HTTP,compromised,Replay
ID1924,Smart Plug,2017-11-02,70,Good,25.7,Occasionally,Bluetooth,67,Low,MQTT,normal,
ID6397,Smart Lock,2021-03-24,75,Poor,32.3,Daily,Zigbee,100,Low,Zigbee,compromised,MITM
ID6679,Smart Light,2012-10-13,26,Excellent,26.1,Daily,Zigbee,25,Low,Zigbee,normal,
ID6974,Smart Plug,2015-05-13,24,Poor,22.0,Occasionally,WiFi,42,Low,HTTP,compromised,MITM
ID5008,Smart Light,2025-01-03,48,Poor,29.6,Daily,WiFi,68,Low,Zigbee,compromised,DDoS
ID3222,Smart Lock,2013-05-05,100,Poor,18.3,Weekly,Zigbee,67,Low,CoAP,compromised,Replay
ID3685,Smart Camera,2023-01-18,12,Excellent,27.4,Weekly,Bluetooth,82,High,HTTP,normal,
ID9556,Smart Light,2017-11-09,13,Poor,21.2,Weekly,Zigbee,93,Low,CoAP,compromised,MITM
ID4834,Smart Camera,2010-08-12,23,Poor,13.9,Occasionally,Zigbee,23,High,HTTP,compromised,MITM
ID3326,Smart Thermostat,2022-08-16,98,Excellent,8.5,Weekly,Zigbee,3,High,CoAP,normal,
ID2613,Smart Camera,2017-01-20,89,Good,32.1,Weekly,Zigbee,67,High,Zigbee,normal,
ID5538,Smart Light,2023-11-14,15,Excellent,10.9,Weekly,WiFi,96,Low,Zigbee,normal,
ID1422,Smart Plug,2023-12-23,88,Poor,22.2,Weekly,Zigbee,47,Low,HTTP,compromised,Replay
ID2023,Smart Camera,2013-09-21,62,Poor,27.1,Weekly,Zigbee,78,High,MQTT,compromised,Jamming
ID1785,Smart Thermostat,2022-10-04,186,Good,9.9,Daily,Bluetooth,36,High,CoAP,normal,
ID8747,Smart Lock,2012-02-06,87,Poor,22.9,Weekly,Zigbee,82,Low,HTTP,compromised,DDoS
ID6965,Smart Plug,2011-08-02,37,Poor,21.3,Daily,Bluetooth,29,Low,HTTP,compromised,MITM
ID3889,Smart Light,2017-02-02,98,Excellent,13.5,Occasionally,Bluetooth,8,Low,Zigbee,normal,
ID8619,Smart Plug,2020-09-02,79,Excellent,19.0,Weekly,Bluetooth,30,Low,Zigbee,normal,
